Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,aroon_signal,close_price,adj_close_price
2022-01-03,1,0,1,1,1,1.0,0,1,-1,0,182.00999450683594,180.95973205566406
2022-01-04,0,0,0,0,0,0.0,1,0,0,1,179.6999969482422,178.6630859375
2022-01-05,0,0,0,0,0,0.0,0,0,0,0,174.9199981689453,173.91065979003906
2022-01-06,0,0,0,0,0,-0.5,0,-1,0,0,172.0,171.00750732421875
2022-01-07,0,0,0,0,0,0.0,-1,0,0,0,172.1699981689453,171.17654418945312
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,172.19000244140625,171.1964111328125
2022-01-11,0,0,0,0,0,0.0,0,0,1,0,175.0800018310547,174.06973266601562
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,175.52999877929688,174.5171356201172
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,172.19000244140625,171.1964111328125
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,173.07000732421875,172.07135009765625
2022-01-18,0,0,0,0,0,0.0,0,0,0,0,169.8000030517578,168.82020568847656
2022-01-19,0,0,0,0,0,0.0,0,0,-1,-1,166.22999572753906,165.2707977294922
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,164.50999450683594,163.56072998046875
2022-01-21,0,0,0,0,0,-1.0,0,0,0,0,162.41000366210938,161.47283935546875
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,161.6199951171875,160.68739318847656
2022-01-25,0,0,0,0,0,0.0,0,0,0,0,159.77999877929688,158.85801696777344
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,159.69000244140625,158.76853942871094
2022-01-27,0,0,0,0,0,0.0,0,0,0,0,159.22000122070312,158.30125427246094
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,170.3300018310547,169.34713745117188
2022-01-31,0,0,0,0,0,0.5,1,1,0,0,174.77999877929688,173.77145385742188
2022-02-01,0,0,0,0,0,0.0,0,0,0,0,174.61000061035156,173.6024627685547
2022-02-02,0,0,0,0,0,0.0,0,0,0,0,175.83999633789062,174.82534790039062
2022-02-03,0,0,0,0,0,0.0,0,0,0,0,172.89999389648438,171.90231323242188
2022-02-04,0,0,0,0,0,1.0,0,0,0,0,172.38999938964844,171.61363220214844
2022-02-07,0,0,0,0,0,0.0,0,0,0,1,171.66000366210938,170.8869171142578
2022-02-08,0,0,0,0,0,0.0,0,0,0,0,174.8300018310547,174.04263305664062
2022-02-09,0,0,0,0,-1,0.0,0,0,0,0,176.27999877929688,175.48611450195312
2022-02-10,0,0,0,0,0,0.0,0,0,0,0,172.1199951171875,171.34483337402344
2022-02-11,0,0,0,0,0,-0.5,0,-1,0,0,168.63999938964844,167.88052368164062
2022-02-14,0,0,0,0,0,0.0,0,0,0,0,168.8800048828125,168.1194305419922
2022-02-15,0,0,0,0,0,0.0,-1,0,0,0,172.7899932861328,172.01182556152344
2022-02-16,0,0,0,0,0,1.0,0,0,0,0,172.5500030517578,171.77291870117188
2022-02-17,0,0,0,0,0,-0.5,0,0,0,0,168.8800048828125,168.1194305419922
2022-02-18,0,1,0,0,0,0.0,0,0,0,0,167.3000030517578,166.5465545654297
2022-02-22,0,-1,0,0,0,-1.0,0,0,0,0,164.32000732421875,163.57997131347656
2022-02-23,0,0,0,0,0,0.0,0,0,0,0,160.07000732421875,159.34912109375
2022-02-24,0,0,0,0,0,0.0,0,0,0,-1,162.74000549316406,162.00709533691406
2022-02-25,0,0,0,0,0,0.0,0,0,0,0,164.85000610351562,164.1075897216797
2022-02-28,0,0,0,0,0,0.0,0,0,1,0,165.1199951171875,164.37637329101562
2022-03-01,0,0,0,0,0,0.0,0,0,-1,0,163.1999969482422,162.46502685546875
2022-03-02,0,0,0,0,0,0.0,0,0,1,0,166.55999755859375,165.8098907470703
2022-03-03,0,0,0,0,0,0.5,1,0,-1,0,166.22999572753906,165.4813690185547
2022-03-04,0,0,0,0,0,-1.0,0,0,0,0,163.1699981689453,162.43515014648438
2022-03-07,0,0,0,0,0,0.0,0,0,0,0,159.3000030517578,158.5825958251953
2022-03-08,-1,0,0,0,0,0.0,0,0,0,0,157.44000244140625,156.73095703125
2022-03-09,0,0,0,0,0,0.0,0,1,0,0,162.9499969482422,162.21615600585938
2022-03-10,0,0,0,0,0,0.0,0,-1,0,0,158.52000427246094,157.8061065673828
2022-03-11,0,0,0,0,0,0.0,0,0,0,0,154.72999572753906,154.0331573486328
2022-03-14,0,0,0,0,0,0.0,-1,0,0,0,150.6199951171875,149.94166564941406
2022-03-15,0,0,0,0,0,0.0,0,0,0,0,155.08999633789062,154.3915252685547
2022-03-16,0,0,0,0,0,0.0,0,0,0,0,159.58999633789062,158.87127685546875
2022-03-17,0,0,0,0,0,0.0,0,0,0,0,160.6199951171875,159.89663696289062
2022-03-18,0,1,0,0,0,0.5,0,1,1,0,163.97999572753906,163.2415008544922
2022-03-21,0,0,0,0,0,0.0,0,0,0,0,165.3800048828125,164.6352081298828
2022-03-22,0,0,0,0,0,0.0,1,0,0,0,168.82000732421875,168.05970764160156
2022-03-23,0,0,0,0,0,0.0,0,0,0,0,170.2100067138672,169.44346618652344
2022-03-24,0,0,0,0,0,0.0,0,0,0,0,174.07000732421875,173.2860565185547
2022-03-25,0,0,0,0,0,1.0,0,0,0,0,174.72000122070312,173.93313598632812
2022-03-28,0,0,0,0,0,0.0,0,0,0,1,175.60000610351562,174.80917358398438
2022-03-29,0,0,0,0,0,0.0,0,0,0,0,178.9600067138672,178.15403747558594
2022-03-30,0,0,0,0,0,0.0,0,0,0,0,177.77000427246094,176.9694061279297
2022-03-31,0,0,0,0,0,0.0,0,0,0,0,174.61000061035156,173.82363891601562
2022-04-01,0,0,0,0,0,0.0,0,0,0,0,174.30999755859375,173.52496337890625
2022-04-04,0,0,0,0,0,0.0,0,0,0,0,178.44000244140625,177.63636779785156
2022-04-05,0,0,0,0,0,0.0,0,0,0,0,175.05999755859375,174.27159118652344
2022-04-06,0,0,0,0,0,0.0,0,0,0,0,171.8300018310547,171.05615234375
2022-04-07,0,0,0,0,0,-0.5,-1,-1,0,0,172.13999938964844,171.36474609375
2022-04-08,0,-1,0,0,0,0.0,0,0,0,0,170.08999633789062,169.323974609375
2022-04-11,0,0,0,0,0,0.0,0,0,-1,0,165.75,165.00352478027344
2022-04-12,0,0,0,0,0,0.0,0,0,0,0,167.66000366210938,166.90493774414062
2022-04-13,0,0,0,0,0,0.0,0,0,1,-1,170.39999389648438,169.632568359375
2022-04-14,0,0,0,0,0,0.0,0,0,-1,0,165.2899932861328,164.54559326171875
2022-04-18,0,0,0,0,0,0.0,0,0,0,0,165.07000732421875,164.32659912109375
2022-04-19,0,0,0,0,1,0.0,0,0,0,0,167.39999389648438,166.64610290527344
2022-04-20,0,0,0,0,0,0.0,0,0,0,0,167.22999572753906,166.4768524169922
2022-04-21,0,0,0,0,0,-1.0,0,0,0,0,166.4199981689453,165.67051696777344
2022-04-22,0,0,0,0,0,0.0,0,0,0,0,161.7899932861328,161.0613555908203
2022-04-25,0,0,0,0,0,0.0,-1,0,0,0,162.8800048828125,162.14645385742188
2022-04-26,0,0,0,0,0,0.0,0,0,0,0,156.8000030517578,156.09384155273438
2022-04-27,0,0,0,0,0,0.0,0,0,0,0,156.57000732421875,155.86488342285156
2022-04-28,0,0,0,0,0,0.0,0,0,0,0,163.63999938964844,162.9030303955078
2022-04-29,0,0,0,0,0,0.0,0,0,0,0,157.64999389648438,156.94000244140625
2022-05-02,0,0,0,0,0,0.0,0,0,0,0,157.9600067138672,157.24862670898438
2022-05-03,0,0,0,0,0,0.0,0,0,0,0,159.47999572753906,158.7617645263672
2022-05-04,0,0,0,0,0,0.0,0,0,1,0,166.02000427246094,165.27230834960938
2022-05-05,0,0,0,0,0,0.0,1,0,-1,0,156.77000427246094,156.06398010253906
2022-05-06,0,0,0,0,0,0.0,0,0,1,0,157.27999877929688,156.8017120361328
2022-05-09,0,0,0,0,0,0.0,0,0,-1,0,152.05999755859375,151.59759521484375
2022-05-10,0,0,0,0,0,0.0,-1,0,1,0,154.50999450683594,154.04013061523438
2022-05-11,0,0,0,0,0,0.0,0,0,-1,0,146.5,146.05450439453125
2022-05-12,0,0,0,0,-1,0.0,0,0,0,0,142.55999755859375,142.12648010253906
2022-05-13,0,0,0,0,0,0.0,0,0,0,0,147.11000061035156,146.66265869140625
2022-05-16,0,0,0,0,0,0.0,0,0,0,0,145.5399932861328,145.09742736816406
2022-05-17,0,0,0,0,0,0.0,0,0,0,0,149.24000549316406,148.7861785888672
2022-05-18,0,0,-1,0,0,0.0,0,0,0,0,140.82000732421875,140.39178466796875
2022-05-19,0,0,0,0,0,0.0,0,0,0,0,137.35000610351562,136.9323272705078
2022-05-20,0,0,0,0,0,0.0,0,0,0,0,137.58999633789062,137.1715850830078
2022-05-23,0,0,0,0,0,0.0,0,0,0,0,143.11000061035156,142.6748046875
2022-05-24,0,0,0,0,0,0.0,0,0,0,0,140.36000061035156,139.93316650390625
2022-05-25,0,0,0,0,0,0.0,0,0,0,0,140.52000427246094,140.0926971435547
2022-05-26,0,0,0,0,0,0.0,0,1,1,0,143.77999877929688,143.34275817871094
2022-05-27,0,1,0,0,0,0.5,0,0,0,0,149.63999938964844,149.18495178222656
2022-05-31,0,0,0,0,0,0.0,1,0,0,0,148.83999633789062,148.38739013671875
2022-06-01,0,0,0,0,0,0.0,0,-1,-1,0,148.7100067138672,148.25778198242188
2022-06-02,0,0,0,0,0,0.0,0,1,1,0,151.2100067138672,150.75018310546875
2022-06-03,0,0,0,-1,0,0.0,0,0,-1,0,145.3800048828125,144.9379119873047
2022-06-06,0,0,0,0,0,0.0,0,0,1,1,146.13999938964844,145.6956024169922
2022-06-07,0,0,0,0,0,0.0,0,0,0,0,148.7100067138672,148.25778198242188
2022-06-08,0,0,0,0,0,0.0,0,0,0,0,147.9600067138672,147.51007080078125
2022-06-09,0,0,0,0,0,-1.0,0,0,0,0,142.63999938964844,142.20623779296875
2022-06-10,0,0,0,0,0,0.0,0,-1,-1,0,137.1300048828125,136.71299743652344
2022-06-13,0,-1,0,0,0,0.0,-1,0,0,0,131.8800048828125,131.4789581298828
2022-06-14,0,0,0,0,0,0.0,0,0,0,0,132.75999450683594,132.3562774658203
2022-06-15,0,0,0,0,0,0.0,0,0,0,-1,135.42999267578125,135.01815795898438
2022-06-16,0,0,0,0,0,0.0,0,0,0,0,130.05999755859375,129.66448974609375
2022-06-17,0,0,0,0,0,0.0,0,0,0,0,131.55999755859375,131.15992736816406
2022-06-21,0,0,0,0,0,0.0,0,0,1,0,135.8699951171875,135.4568328857422
2022-06-22,0,0,0,0,0,0.0,0,0,-1,0,135.35000610351562,134.93841552734375
2022-06-23,0,1,0,0,0,0.0,0,0,1,0,138.27000427246094,137.8495330810547
2022-06-24,0,0,0,0,0,0.5,0,0,0,0,141.66000366210938,141.22921752929688
2022-06-27,0,0,0,0,0,0.0,0,1,0,0,141.66000366210938,141.22921752929688
2022-06-28,0,0,0,0,0,0.0,1,0,0,0,137.44000244140625,137.02206420898438
2022-06-29,0,0,0,0,0,0.0,0,0,0,0,139.22999572753906,138.80661010742188
2022-06-30,0,0,0,0,0,-1.0,0,0,0,0,136.72000122070312,136.3042449951172
2022-07-01,0,0,0,0,0,0.0,0,0,0,1,138.92999267578125,138.50750732421875
2022-07-05,0,0,0,0,0,0.5,0,0,0,0,141.55999755859375,141.1295166015625
2022-07-06,0,0,0,0,0,0.0,0,0,0,0,142.9199981689453,142.4853973388672
2022-07-07,0,0,0,0,0,0.0,0,0,0,0,146.35000610351562,145.90496826171875
2022-07-08,0,0,0,0,0,0.0,0,0,0,0,147.0399932861328,146.5928497314453
2022-07-11,0,0,0,0,0,0.0,0,0,0,0,144.8699951171875,144.429443359375
2022-07-12,0,0,0,0,0,1.0,0,0,0,0,145.86000061035156,145.41644287109375
2022-07-13,0,0,0,0,0,0.0,0,0,0,0,145.49000549316406,145.04757690429688
2022-07-14,0,0,0,0,0,0.0,0,0,0,0,148.47000122070312,148.0185089111328
2022-07-15,0,0,0,0,0,0.0,0,0,0,0,150.1699981689453,149.71334838867188
2022-07-18,0,0,0,0,0,0.0,0,0,0,0,147.07000732421875,146.62277221679688
2022-07-19,0,0,0,0,0,0.0,0,0,0,0,151.0,150.5408172607422
2022-07-20,0,0,0,0,0,0.0,0,0,0,0,153.0399932861328,152.57461547851562
2022-07-21,0,0,0,0,0,0.0,0,0,0,0,155.35000610351562,154.87759399414062
2022-07-22,0,0,0,0,0,0.0,0,0,0,0,154.08999633789062,153.6214141845703
2022-07-25,0,0,0,0,0,0.0,0,0,0,0,152.9499969482422,152.48489379882812
2022-07-26,0,0,0,0,0,0.0,0,0,0,0,151.60000610351562,151.13900756835938
2022-07-27,0,0,0,0,0,0.0,0,0,0,0,156.7899932861328,156.31320190429688
2022-07-28,0,0,0,0,1,0.0,0,0,0,0,157.35000610351562,156.87152099609375
2022-07-29,0,0,0,0,0,0.0,0,0,0,0,162.50999450683594,162.01580810546875
2022-08-01,0,0,0,0,0,0.0,0,0,0,0,161.50999450683594,161.01885986328125
2022-08-02,0,0,0,0,0,0.0,0,0,0,0,160.00999450683594,159.52340698242188
2022-08-03,0,0,0,0,0,0.0,0,0,0,0,166.1300048828125,165.62481689453125
2022-08-04,0,0,0,0,0,0.0,0,0,0,0,165.80999755859375,165.3057861328125
2022-08-05,1,0,0,0,0,0.0,0,0,0,0,165.35000610351562,165.076171875
2022-08-08,0,0,0,0,0,0.0,0,0,-1,0,164.8699951171875,164.59695434570312
2022-08-09,0,0,0,0,0,0.0,0,0,1,0,164.9199981689453,164.64686584472656
2022-08-10,0,0,0,0,0,0.0,0,0,0,0,169.24000549316406,168.95973205566406
2022-08-11,0,0,0,0,0,0.0,0,0,0,0,168.49000549316406,168.21096801757812
2022-08-12,0,0,0,0,0,0.0,0,0,0,0,172.10000610351562,171.8149871826172
2022-08-15,0,0,0,0,0,0.0,0,0,0,0,173.19000244140625,172.90318298339844
2022-08-16,0,0,0,0,0,0.0,0,0,0,0,173.02999877929688,172.74343872070312
2022-08-17,0,0,0,0,0,0.0,0,0,0,0,174.5500030517578,174.26092529296875
2022-08-18,0,0,0,0,0,0.0,0,0,0,0,174.14999389648438,173.86158752441406
2022-08-19,0,0,0,0,0,0.0,0,0,-1,0,171.52000427246094,171.23594665527344
2022-08-22,0,-1,1,0,0,0.0,-1,0,0,0,167.57000732421875,167.29249572753906
2022-08-23,0,0,0,0,0,-0.5,0,0,0,0,167.22999572753906,166.9530487060547
2022-08-24,0,0,0,0,0,0.0,0,-1,0,0,167.52999877929688,167.25254821777344
2022-08-25,0,0,0,0,0,0.0,0,1,0,0,170.02999877929688,169.7484130859375
2022-08-26,0,0,0,0,0,0.0,0,-1,0,0,163.6199951171875,163.34901428222656
2022-08-29,0,0,0,0,0,0.0,0,0,0,0,161.3800048828125,161.1127471923828
2022-08-30,0,0,0,0,0,0.0,0,0,0,0,158.91000366210938,158.64683532714844
2022-08-31,0,0,0,0,0,0.0,0,0,0,-1,157.22000122070312,156.95962524414062
2022-09-01,0,0,0,0,0,0.0,0,0,0,0,157.9600067138672,157.6984100341797
2022-09-02,0,0,0,0,0,0.0,0,0,0,0,155.80999755859375,155.5519561767578
2022-09-06,0,0,0,0,0,-1.0,0,0,0,0,154.52999877929688,154.27407836914062
2022-09-07,0,0,0,0,0,0.0,0,0,0,0,155.9600067138672,155.70172119140625
2022-09-08,0,0,0,0,0,0.0,0,0,0,0,154.4600067138672,154.20420837402344
2022-09-09,0,0,0,0,0,0.0,0,0,0,0,157.3699951171875,157.109375
2022-09-12,0,0,0,0,0,0.5,0,0,0,0,163.42999267578125,163.15933227539062
2022-09-13,0,0,0,0,0,-1.0,1,0,0,0,153.83999633789062,153.58522033691406
2022-09-14,0,0,0,0,0,0.0,0,0,0,0,155.30999755859375,155.0527801513672
2022-09-15,0,0,0,0,0,0.0,0,0,0,0,152.3699951171875,152.11764526367188
2022-09-16,0,0,0,0,0,0.0,-1,0,0,0,150.6999969482422,150.45042419433594
2022-09-19,0,0,0,0,0,0.0,0,0,0,0,154.47999572753906,154.22415161132812
2022-09-20,0,0,0,0,0,0.0,0,1,0,0,156.89999389648438,156.64015197753906
2022-09-21,0,0,0,0,0,0.0,0,-1,0,0,153.72000122070312,153.46542358398438
2022-09-22,0,0,0,0,0,0.0,0,0,0,0,152.74000549316406,152.48704528808594
2022-09-23,0,0,0,0,0,0.0,0,0,0,0,150.42999267578125,150.1808624267578
2022-09-26,0,0,-1,0,0,0.0,0,0,0,0,150.77000427246094,150.5203094482422
2022-09-27,0,0,0,0,-1,0.0,0,0,0,0,151.75999450683594,151.5086669921875
2022-09-28,0,0,0,1,0,0.0,0,0,0,0,149.83999633789062,149.5918426513672
2022-09-29,0,0,0,0,0,0.0,0,0,0,0,142.47999572753906,142.24403381347656
2022-09-30,0,0,0,-1,0,0.0,0,0,0,0,138.1999969482422,137.9711151123047
2022-10-03,0,0,0,0,0,0.0,0,0,0,0,142.4499969482422,142.21408081054688
2022-10-04,0,0,0,0,0,0.0,0,0,0,0,146.10000610351562,145.85804748535156
2022-10-05,0,0,0,0,0,0.0,0,0,0,0,146.39999389648438,146.15753173828125
2022-10-06,0,0,0,0,0,0.0,0,0,0,0,145.42999267578125,145.18914794921875
2022-10-07,0,0,0,0,0,0.0,0,0,0,0,140.08999633789062,139.8579864501953
2022-10-10,0,0,0,0,0,0.0,0,0,0,0,140.4199981689453,140.18743896484375
2022-10-11,0,0,0,0,0,0.0,0,0,0,0,138.97999572753906,138.7498321533203
2022-10-12,0,0,0,0,0,0.0,0,0,0,0,138.33999633789062,138.1108856201172
2022-10-13,-1,0,0,0,0,0.0,0,1,0,0,142.99000549316406,142.75320434570312
2022-10-14,0,0,0,0,0,0.0,0,0,0,0,138.3800048828125,138.1508331298828
2022-10-17,0,1,0,0,0,0.0,1,-1,0,0,142.41000366210938,142.17416381835938
2022-10-18,0,0,0,0,0,0.5,0,0,1,0,143.75,143.51193237304688
2022-10-19,0,0,0,0,0,0.0,0,0,0,0,143.86000061035156,143.6217498779297
2022-10-20,0,0,0,0,0,0.0,0,0,0,0,143.38999938964844,143.15252685546875
2022-10-21,0,0,0,0,0,0.0,0,1,0,0,147.27000427246094,147.02610778808594
2022-10-24,0,0,0,0,0,0.0,0,0,0,0,149.4499969482422,149.20248413085938
2022-10-25,0,0,0,0,0,0.0,0,0,0,0,152.33999633789062,152.08770751953125
2022-10-26,0,0,0,0,0,0.0,0,0,0,0,149.35000610351562,149.1026611328125
2022-10-27,0,0,0,0,0,0.0,0,0,0,1,144.8000030517578,144.56019592285156
2022-10-28,0,0,0,0,0,0.0,0,0,0,0,155.74000549316406,155.48208618164062
2022-10-31,0,0,0,0,0,1.0,0,0,0,0,153.33999633789062,153.08604431152344
2022-11-01,0,0,0,0,0,0.0,0,0,0,0,150.64999389648438,150.40049743652344
2022-11-02,0,0,0,0,0,0.0,0,0,-1,0,145.02999877929688,144.78981018066406
2022-11-03,0,0,0,0,0,-0.5,-1,-1,0,0,138.8800048828125,138.65000915527344
2022-11-04,0,-1,0,0,0,-1.0,0,0,0,0,138.3800048828125,138.3800048828125
2022-11-07,0,0,0,0,0,0.0,0,0,0,0,138.9199981689453,138.9199981689453
2022-11-08,0,0,0,0,0,0.0,0,0,0,0,139.5,139.5
2022-11-09,0,0,0,0,0,0.0,0,0,0,0,134.8699951171875,134.8699951171875
2022-11-10,0,0,0,0,0,0.0,0,1,0,0,146.8699951171875,146.8699951171875
2022-11-11,0,1,0,0,0,0.5,0,-1,1,0,149.6999969482422,149.6999969482422
2022-11-14,0,0,0,0,0,0.0,0,0,-1,0,148.27999877929688,148.27999877929688
2022-11-15,0,0,0,0,0,0.0,1,0,1,0,150.0399932861328,150.0399932861328
2022-11-16,0,0,0,0,0,0.0,0,1,-1,0,148.7899932861328,148.7899932861328
2022-11-17,0,0,0,0,0,1.0,0,0,1,0,150.72000122070312,150.72000122070312
2022-11-18,0,0,0,0,0,0.0,0,0,0,0,151.2899932861328,151.2899932861328
2022-11-21,0,0,0,0,0,0.0,0,0,0,0,148.00999450683594,148.00999450683594
2022-11-22,0,0,0,0,0,0.0,0,0,0,0,150.17999267578125,150.17999267578125
2022-11-23,0,0,0,0,0,0.0,0,0,0,0,151.07000732421875,151.07000732421875
2022-11-25,0,0,0,0,0,0.0,0,0,0,0,148.11000061035156,148.11000061035156
2022-11-28,0,0,0,0,1,-0.5,0,-1,0,0,144.22000122070312,144.22000122070312
2022-11-29,0,-1,0,0,0,0.0,0,0,0,0,141.1699981689453,141.1699981689453
2022-11-30,0,0,0,0,0,0.0,-1,0,0,0,148.02999877929688,148.02999877929688
2022-12-01,0,0,0,0,0,1.0,0,0,0,0,148.30999755859375,148.30999755859375
2022-12-02,0,0,0,0,0,0.0,0,0,0,-1,147.80999755859375,147.80999755859375
2022-12-05,0,0,0,0,0,0.0,0,0,0,0,146.6300048828125,146.6300048828125
2022-12-06,0,0,0,0,0,-1.0,0,0,-1,0,142.91000366210938,142.91000366210938
2022-12-07,0,0,0,0,0,0.0,0,0,0,0,140.94000244140625,140.94000244140625
2022-12-08,0,0,0,0,0,0.0,0,0,0,0,142.64999389648438,142.64999389648438
2022-12-09,0,0,0,0,0,0.0,0,0,0,0,142.16000366210938,142.16000366210938
2022-12-12,0,0,0,0,0,0.0,0,1,0,0,144.49000549316406,144.49000549316406
2022-12-13,0,0,0,0,0,0.5,0,0,1,0,145.47000122070312,145.47000122070312
2022-12-14,0,0,0,0,-1,-1.0,0,-1,-1,0,143.2100067138672,143.2100067138672
2022-12-15,0,0,0,0,0,0.0,0,0,0,0,136.5,136.5
2022-12-16,0,0,0,0,0,0.0,0,0,0,0,134.50999450683594,134.50999450683594
2022-12-19,0,0,0,0,0,0.0,0,0,0,0,132.3699951171875,132.3699951171875
2022-12-20,0,0,0,0,0,0.0,0,0,0,0,132.3000030517578,132.3000030517578
2022-12-21,0,0,0,0,0,0.0,0,0,0,0,135.4499969482422,135.4499969482422
2022-12-22,0,0,0,0,0,0.0,0,0,0,0,132.22999572753906,132.22999572753906
2022-12-23,0,0,0,0,0,0.0,0,0,0,0,131.86000061035156,131.86000061035156
2022-12-27,0,0,0,0,0,0.0,0,0,0,0,130.02999877929688,130.02999877929688
2022-12-28,0,0,0,0,0,0.0,0,0,0,0,126.04000091552734,126.04000091552734
2022-12-29,0,0,0,0,0,0.0,0,0,0,0,129.61000061035156,129.61000061035156
2022-12-30,0,0,0,0,0,0.0,0,0,0,0,129.92999267578125,129.92999267578125
